Nombre,Altura,Peso
Aardonyx,"1,3 metros",1.4 toneladas
Abdarainurus,4-5 metros,Nan
Nuevas imágenes,Nan,Nan
,Nan,Nan
,Nan,Nan
Abelisaurus Comahuensis,2 metros,1400-3000 Kg
Abrictosaurus consors,40 cm,27 kg
Abrosaurus,4 metros,7 toneladas
Abydosaurus mcintoshi,7 metros,22 toneladas
Acantholipan gonzalezi,Nan,Más de media tonelada
Acanthopholis,1 metro,800 kg
Achelousaurus,2 metros,"posiblemente, 2 toneladas"
Acheroraptor temertyorum,65 cm,40 kg
Achillesaurus,"1,5 metros",70 kg
Achillobator,"1,6 metros",520 kg
Acristavus,2 metros,2 toneladas
Acrocanthosaurus,4 metros,5 toneladas
Acrotholus,40 cm,20 kg
Adamantisaurus,4 metros,10 toneladas
Adasaurus,60 cm,20 kg
Adeopapposaurus,1 metro,290 kg
Adratiklit,2 metros y medio,Nan
Adynomosaurus,Nan,Nan
Aegyptosaurus,5 metros,17 toneladas
,Nan,Nan
Aeolosaurus,4 metros,20 toneladas
Aepisaurus,4 metros,12 toneladas
Aerosteon,"2,5 metros",2 toneladas
Afrovenator,"2,3 metros","1,5 toneladas"
Agathaumas,2 metros,6 toneladas
Agilisaurus,40 cm,22 kg
Agnosphitys,Nan,Nan
Agrosaurus,1 metros,280 kg
Agujaceratops,2 metros,2 toneladas
Agustinia,5 metros,9 toneladas
Ahshislepelta,80 cm,120 kg
Ajancingenia,70 cm,35 kg
Ajkaceratops,Nan,Nan
Ajnabia,Nan,Nan
Alamosaurus,entre 6 y 7 metros,27 toneladas
Alaskacephale,Nan,80 Kilogramos
Albalophosaurus,80 cm,45 kg
Albertaceratops,"1,9 a 2,5 metros",453 kg
Albertadromeus,20 a 30 cm,15 a 20 kg
Albertavenator,Nan,Nan
Albertonykus,29 cm,1 kg
,Nan,Nan
Albertosaurus,2.8 metros,"2,5 toneladas"
Albinykus,25 cm,800 g
Alcovasaurus,2 metros,Nan
Alectrosaurus,2 metros,"1,2 toneladas"
Aletopelta,2 metros,500 kg
Algoasaurus,"2,7 metros",3 toneladas
Alioramus,2 metros,400 kg
,Nan,Nan
,Nan,Nan
,Nan,Nan
Allosaurus,2 a 3 metros (según la especie),"1,5 - 3 toneladas (según la especie)"
Alnashetri,20 cm,"1,2 kg"
Alocodon,50 cm,30 kg
Altirhinus,2 metros,"1,4 toneladas"
Altispinax,"2,1 metros",1 tonelada
,Nan,Nan
Alvarezsaurus,70 cm,20 kg
,Nan,Nan
Alxasaurus,2 metros,320 kg
Amanzia,2-3 metros,Nan
Amargasaurus,4 metros,8 toneladas
Amargastegos,1 metros,500 kg
Amargatitanis,Nan,47 toneladas
Amazonsaurus,"2,8 metros","3,7 toneladas"
Ambopteryx,Nan,306 gramos
Ammosaurus,"1,8 metros erguido",45 kilogramos
Ampelosaurus,"3,8 metros",6 toneladas
